"Seg ID","Hwy Seg Type","Two-Lane Seg Type","# Dir Lanes","Length (mi)","Eff. Len. Upstream (mi)","Eff. Len. Downstream (mi)","Adj. Length (mi)","Posted Speed (mi/h)","Dir Volume (veh/h)","Opp Volume (veh/h)","PHF","Dir Truck%","Analysis Flow Rate (veh/h/ln)","Analysis Flow Rate (pc/h/ln)","Vertical Align Class","FFS (mi/h)","Free-Flow Trav Time (s)","Avg Speed (mi/h)","Avg Travel Time (s)"
32,SigIntersection,---,1,0.2869318,0.1578,0.2016,0.3594,45,700,---,1,9,700,---,---,49.5,26.14,17.66,73.26
33,TwoLaneHwy,PassingZone,1,0.3152,---,---,0.2784,45,700,400,1,9,700,---,1,51.000298,19.65,48.61,20.62
34,TwoLaneHwy,PassingConstrained,1,0.2216,---,---,0.2216,45,700,400,1,9,700,---,1,51.000298,15.64,48.36,16.5
35,TwoLaneHwy,PassingZone,1,0.2394,---,---,0.2394,45,700,400,1,9,700,---,1,51.000298,16.9,48.61,17.73
36,TwoLaneHwy,PassingConstrained,1,0.1837,---,---,0.1837,45,700,400,1,9,700,---,1,51.000298,12.97,48.36,13.68
37,TwoLaneHwy,PassingZone,1,0.2835,---,---,0.2835,45,700,400,1,9,700,---,1,51.000298,20.01,48.61,21
38,TwoLaneHwy,PassingConstrained,1,0.3011,---,---,0.3011,40,700,400,1,9,700,---,1,45.300297,23.93,42.9,25.27
39,MultilaneHwy,---,2,0.6538,---,---,0.6059,40,700,---,1,9,700,381.5,---,44.5,49.02,44.5,49.02
40,SigIntersection,---,2,0.08049242,0.0858,0.1255,0.2113,40,700,---,1,9,665,---,---,44,17.28,21.22,35.84
41,MultilaneHwy,---,2,0.3083,---,---,0.2255,40,700,---,1,9,700,381.5,---,44.5,18.24,44.5,18.24
